Track URI,Track Name,Artist URI,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
spotify:track:2qHvD3r5qu4wuPpvq3CQKb,LA ÚLTIMA,spotify:artist:52iwsT98xCoGgiGntTiR7K,Quevedo,84,"['rap canario', 'trap latino', 'urbano latino']",LA ÚLTIMA,83,0.552,0.61,7,-6.304,1,0.0657,0.171,0.0,0.071,0.225,92.936,170323,4
spotify:track:3BFh8rR6aMexy7ELu2UQy3,Manos Rotas,spotify:artist:4bJh7sMPcVRiqe5jlnsWQV,DELLAFUENTE,72,"['flamenco urbano', 'urbano espanol']",Manos Rotas,85,0.728,0.59,4,-5.787,0,0.204,0.386,0.0612,0.162,0.238,93.977,168594,4
spotify:track:7iUtQNMRB8ZkKC4AmEuCJC,LA FALDA,spotify:artist:7iK8PXO48WeuP03g8YR51W,Myke Towers,86,"['reggaeton', 'trap latino', 'urbano latino']",LVEU: VIVE LA TUYA...NO LA MIA,92,0.8,0.738,7,-4.26,1,0.0691,0.372,0.00877,0.19,0.267,103.008,174230,4
spotify:track:6VciS3dRMpZhJiDxT8ArFi,"Young Miko: Bzrp Music Sessions, Vol. 58",spotify:artist:716NhGYqD1jl2wI1Qkgq36,Bizarrap,84,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']","Young Miko: Bzrp Music Sessions, Vol. 58",95,0.704,0.571,7,-8.212,0,0.156,0.588,0.0,0.117,0.443,96.016,190000,4
spotify:track:357iDuZ0IXAAg3Aj7UszqO,Buscando Money,spotify:artist:6C2mFGFh8dz1vKp9l5Ce8P,TWENTY SIX,63,[],Buscando Money,84,0.817,0.812,9,-6.674,0,0.057,0.0895,0.536,0.0669,0.725,128.028,150000,4
spotify:track:7bywjHOc0wSjGGbj04XbVi,LUNA,spotify:artist:2LRoIwlKmHjgvigdNGBHNo,Feid,91,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",FERXXOCALIPSIS,97,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,196800,4
spotify:track:35ttE4t8lQZA2vuCYDg4G7,M.A.I,spotify:artist:19HM5j0ULGSmEoRcrSe5x3,Milo j,82,"['trap argentino', 'trap latino', 'urbano latino']",111,87,0.364,0.572,10,-5.861,0,0.0341,0.758,0.0,0.229,0.514,80.363,184027,4
spotify:track:3Cx4BsDd4q0GCVBJ5CAw2K,No Te Quieren Conmigo,spotify:artist:1r3tpVQ08jFAA2P4xzV5o4,Gaby Music,70,['pop reggaeton'],No Te Quieren Conmigo,89,0.76,0.646,6,-5.009,1,0.068,0.361,0.000109,0.254,0.576,97.917,252040,4
spotify:track:1kqH58eGh2ZTOHwqBIB2tM,Una Foto Remix (feat. Emilia),spotify:artist:2IKdK6PbitvCiXt1t2bPU6,Mesita,72,['rap uruguayo'],Una Foto Remix (feat. Emilia),91,0.76,0.703,6,-3.667,1,0.0631,0.313,0.0,0.0784,0.739,96.033,243899,4
spotify:track:0T0Oo2aVRt5a39D3ObeWwm,X'CLUSIVO,spotify:artist:4ixNZvQuuzCDxBsxO9zE6L,Gonzy,57,['urbano latino'],X'CLUSIVO,77,0.812,0.489,6,-6.412,1,0.149,0.225,0.00108,0.105,0.788,147.052,175587,4
spotify:track:0qZhK4gFB5c1Wxsnd6WA8U,Casanova,spotify:artist:0GgY7hjMoGDsX8ZDe2mwds,Soolking,73,"['french hip hop', 'pop urbaine', 'r&b francais', 'rap algerien']",Casanova,83,0.668,0.807,7,-6.147,0,0.186,0.675,2.06e-05,0.0995,0.544,132.087,243806,4
spotify:track:6Es8Sk3xe1HiJ2MXCfHHwR,La_Original.mp3,spotify:artist:0AqlFI0tz2DsEoJlKSIiT9,Emilia,81,['pop argentino'],.mp3,85,0.833,0.809,5,-2.751,0,0.0381,0.0836,0.0,0.112,0.905,128.055,140625,4
